hour,day,month,year,cloud_coverage,Visibility,temperature,dew_point,relative_humidity,wind_speed,station_pressure,altimeter,solar_energy
6,1,2,2016,0.0,9.92,0.37,-0.01,89.12,4.72,29.19,29.98,0.0
7,1,2,2016,0.0,10.0,0.47,-0.04,90.08,6.0,29.2,29.99,84.29
8,1,2,2016,0.14,9.92,0.89,0.3,92.0,2.76,29.22,30.01,531.0
9,1,2,2016,0.92,10.0,1.97,0.41,86.12,5.56,29.24,30.04,923.75
10,1,2,2016,0.46,10.0,3.15,1.07,82.48,2.12,29.27,30.06,1947.75
11,1,2,2016,0.42,10.0,4.5,1.05,75.88,0.0,29.27,30.06,3562.0
12,1,2,2016,0.0,10.0,6.16,1.26,68.96,0.0,29.26,30.05,4236.5
13,1,2,2016,0.0,10.0,7.56,1.41,64.48,0.0,29.25,30.04,3913.0
14,1,2,2016,0.0,10.0,8.47,0.63,57.12,3.72,29.24,30.03,3189.25
15,1,2,2016,0.0,10.0,8.78,-0.2,51.76,2.04,29.23,30.02,1687.75
16,1,2,2016,0.0,10.0,8.49,-0.21,54.2,3.2,29.24,30.03,453.93
17,1,2,2016,0.0,10.0,5.86,0.44,64.64,3.16,29.26,30.05,9.13
6,2,2,2016,0.92,5.04,2.07,0.54,89.8,14.08,29.19,29.98,0.0
7,2,2,2016,0.92,5.76,2.51,0.67,86.8,18.0,29.13,29.92,31.35
8,2,2,2016,0.92,5.0,2.63,1.06,88.84,17.92,29.08,29.87,116.1
9,2,2,2016,1.0,6.35,3.34,1.65,86.89,18.3,29.01,29.81,172.5
10,2,2,2016,0.99,5.22,3.95,2.22,87.26,20.18,28.95,29.75,205.0
11,2,2,2016,1.0,7.35,5.04,3.16,86.38,21.5,28.9,29.68,274.0
12,2,2,2016,1.0,5.93,6.34,4.93,90.56,20.46,28.85,29.64,325.0
13,2,2,2016,1.0,1.0,7.96,7.07,97.28,17.56,28.81,29.59,256.5
14,2,2,2016,1.0,0.92,9.99,9.27,97.38,15.76,28.76,29.54,133.75
15,2,2,2016,1.0,3.15,11.87,11.02,96.0,20.92,28.72,29.5,182.5
16,2,2,2016,1.0,4.68,12.79,11.72,95.2,17.96,28.71,29.49,115.5
17,2,2,2016,0.83,7.26,13.51,12.56,94.26,17.15,28.69,29.47,2.93
6,3,2,2016,0.16,10.0,2.47,0.22,79.12,15.36,28.83,29.61,0.68
7,3,2,2016,0.56,10.0,1.86,-0.17,81.04,11.72,28.85,29.63,303.38
8,3,2,2016,0.98,10.0,2.47,0.23,80.04,15.23,28.88,29.67,327.75
9,3,2,2016,1.0,10.0,3.14,0.42,79.0,20.56,28.91,29.7,337.75
10,3,2,2016,1.0,10.0,3.13,1.02,81.88,19.4,28.94,29.73,205.0
11,3,2,2016,1.0,7.44,2.78,1.22,86.8,21.4,28.96,29.75,250.5
12,3,2,2016,1.0,5.3,2.05,1.05,88.7,22.35,28.98,29.77,378.75
13,3,2,2016,1.0,9.74,1.58,0.39,88.58,21.59,29.0,29.79,310.0
